Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
comment(Var_Global_No_Comp),Chrome 75.0.3770.100,,,2019-07-15 14:17:23,2019-07-15 14:17:23,"0,000s",PASSED
,,,,,,,
Test Cases/CC Con popups/CC_Crea_Secu/TC_CC_Crea_Secu Con While PopUps,Chrome 75.0.3770.100,,,2019-07-15 14:17:23,2019-07-15 14:17:23,"0,044s",ERROR
comment(XLS_No_Comprobante_Secu),Chrome 75.0.3770.100,,,2019-07-15 14:17:23,2019-07-15 14:17:23,"0,001s",PASSED
comment(Var_Global_No_Comp),Chrome 75.0.3770.100,,,2019-07-15 14:17:23,2019-07-15 14:17:23,"0,000s",PASSED
,,,,,,,
Test Cases/CC Con popups/CC_Crea_Secu/TC_CC_Crea_Secu Con While PopUps,Chrome 75.0.3770.100,,,2019-07-15 14:17:23,2019-07-15 14:17:23,"0,050s",ERROR
comment(XLS_No_Comprobante_Secu),Chrome 75.0.3770.100,,,2019-07-15 14:17:23,2019-07-15 14:17:23,"0,000s",PASSED
comment(Var_Global_No_Comp),Chrome 75.0.3770.100,,,2019-07-15 14:17:23,2019-07-15 14:17:23,"0,016s",PASSED
,,,,,,,
Test Cases/CC/Crea_Pie/TC_Crea_Pie Con Validacion,Chrome 75.0.3770.100,TC_Crea_Pie,CC,2019-07-15 14:17:23,2019-07-15 14:17:36,"13,077s",FAILED
"Var_Local_Total_Debitos = getText(findTestObject(""Page_iSiigo/lbl_Total_Debito""), STOP_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 14:17:25,2019-07-15 14:17:25,"0,156s",PASSED
"Var_Local_Total_Credito = getText(findTestObject(""Page_iSiigo/lbl_Total_Credito""), STOP_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 14:17:25,2019-07-15 14:17:25,"0,141s",PASSED
comment(Var_Local_Total_Debitos),Chrome 75.0.3770.100,,,2019-07-15 14:17:25,2019-07-15 14:17:25,"0,004s",PASSED
comment(Var_Local_Total_Credito),Chrome 75.0.3770.100,,,2019-07-15 14:17:25,2019-07-15 14:17:25,"0,005s",PASSED
comment(XLS_Crea_Total_Debitos),Chrome 75.0.3770.100,,,2019-07-15 14:17:25,2019-07-15 14:17:25,"0,005s",PASSED
comment(XLS_Crea_Total_Creditos),Chrome 75.0.3770.100,,,2019-07-15 14:17:25,2019-07-15 14:17:25,"0,004s",PASSED
"comment(""Valida si es igual los debito con credito"")",Chrome 75.0.3770.100,,,2019-07-15 14:17:25,2019-07-15 14:17:25,"0,000s",PASSED
"verifyEqual(Var_Local_Total_Debitos, Var_Local_Total_Credito)",Chrome 75.0.3770.100,,,2019-07-15 14:17:25,2019-07-15 14:17:25,"0,031s",PASSED
"comment(""Valida si es igual al Excel"")",Chrome 75.0.3770.100,,,2019-07-15 14:17:25,2019-07-15 14:17:25,"0,000s",PASSED
"verifyEqual(XLS_Crea_Total_Debitos, Var_Local_Total_Debitos, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 14:17:25,2019-07-15 14:17:25,"0,013s",FAILED
"verifyEqual(XLS_Crea_Total_Creditos, Var_Local_Total_Credito, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 14:17:25,2019-07-15 14:17:25,"0,000s",FAILED
"setText(findTestObject(""Object Repository/Page_iSiigo/txt_Observaciones""), XLS_Observaciones_Nota_Interna)",Chrome 75.0.3770.100,,,2019-07-15 14:17:25,2019-07-15 14:17:26,"0,859s",PASSED
"click(findTestObject(""Object Repository/Page_iSiigo/btn_Guardar""))",Chrome 75.0.3770.100,,,2019-07-15 14:17:26,2019-07-15 14:17:26,"0,304s",PASSED
delay(10),Chrome 75.0.3770.100,,,2019-07-15 14:17:26,2019-07-15 14:17:36,"10,017s",PASSED
"callTestCase(findTestCase(""CC/Crea_Pie/TC_Valida_Vista""), [""XLS_Moneda_Extranjera"":XLS_Moneda_Extranjera, ""XLS_Maneja_Moneda_Extranjera"":XLS_Maneja_Moneda_Extranjera, ""Local_Var_Label_Total"":""""], STOP_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-15 14:17:36,2019-07-15 14:17:36,"0,003s",NOT_RUN
X = CulturaDecimalComaAPunto(X),Chrome 75.0.3770.100,,,2019-07-15 14:17:36,2019-07-15 14:17:36,"0,002s",NOT_RUN
comment(X),Chrome 75.0.3770.100,,,2019-07-15 14:17:36,2019-07-15 14:17:36,"0,001s",NOT_RUN
